REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2019,PRDMPCDD,M,30-39Y,NUM,3960,Y30T39
AUS,2019,PRDMPCDD,M,40-49Y,NUM,17494,Y40T49
AUS,2019,PRDMPCDD,M,50-59Y,NUM,50432,Y50T59
AUS,2019,PRDMPCDD,M,60-69Y,NUM,88987,Y60T69
AUS,2019,PRDMPCDD,M,70-79Y,NUM,83170,Y70T79
AUS,2019,PRDMPCDD,M,80Y_OVER,NUM,30186,Y_GE80
AUS,2019,PRDMPCDD,F,0-9Y,NUM,8,Y0T9
AUS,2019,PRDMPCDD,F,10-19Y,NUM,24,Y10T19
AUS,2019,PRDMPCDD,F,20-29Y,NUM,306,Y20T29
AUS,2019,PRDMPCDD,F,30-39Y,NUM,2121,Y30T39
AUS,2019,PRDMPCDD,F,40-49Y,NUM,11010,Y40T49
AUS,2019,PRDMPCDD,F,50-59Y,NUM,33535,Y50T59
AUS,2019,PRDMPCDD,F,60-69Y,NUM,60152,Y60T69
AUS,2019,PRDMPCDD,F,70-79Y,NUM,55979,Y70T79
AUS,2019,PRDMPCDD,F,80Y_OVER,NUM,25886,Y_GE80
AUS,2020,PRDMPCDD,M,0-9Y,NUM,14,Y0T9
AUS,2020,PRDMPCDD,M,10-19Y,NUM,50,Y10T19
AUS,2020,PRDMPCDD,M,20-29Y,NUM,515,Y20T29
AUS,2020,PRDMPCDD,M,30-39Y,NUM,4543,Y30T39
AUS,2020,PRDMPCDD,M,40-49Y,NUM,19139,Y40T49
AUS,2020,PRDMPCDD,M,50-59Y,NUM,54088,Y50T59
AUS,2020,PRDMPCDD,M,60-69Y,NUM,94737,Y60T69
AUS,2020,PRDMPCDD,M,70-79Y,NUM,91078,Y70T79
AUS,2020,PRDMPCDD,M,80Y_OVER,NUM,33459,Y_GE80
AUS,2020,PRDMPCDD,F,0-9Y,NUM,8,Y0T9
AUS,2020,PRDMPCDD,F,10-19Y,NUM,22,Y10T19
AUS,2020,PRDMPCDD,F,20-29Y,NUM,338,Y20T29
AUS,2020,PRDMPCDD,F,30-39Y,NUM,2415,Y30T39
AUS,2020,PRDMPCDD,F,40-49Y,NUM,12064,Y40T49
AUS,2020,PRDMPCDD,F,50-59Y,NUM,36083,Y50T59
AUS,2020,PRDMPCDD,F,60-69Y,NUM,63958,Y60T69
AUS,2020,PRDMPCDD,F,70-79Y,NUM,60960,Y70T79
AUS,2020,PRDMPCDD,F,80Y_OVER,NUM,27989,Y_GE80
AUS,2021,PRDMPCDD,M,0-9Y,NUM,10,Y0T9
AUS,2021,PRDMPCDD,M,10-19Y,NUM,42,Y10T19
AUS,2021,PRDMPCDD,M,20-29Y,NUM,531,Y20T29
AUS,2021,PRDMPCDD,M,30-39Y,NUM,4933,Y30T39
AUS,2021,PRDMPCDD,M,40-49Y,NUM,20611,Y40T49
AUS,2021,PRDMPCDD,M,50-59Y,NUM,57276,Y50T59
AUS,2021,PRDMPCDD,M,60-69Y,NUM,99978,Y60T69
AUS,2021,PRDMPCDD,M,70-79Y,NUM,98624,Y70T79
AUS,2021,PRDMPCDD,M,80Y_OVER,NUM,36844,Y_GE80
AUS,2021,PRDMPCDD,F,0-9Y,NUM,7,Y0T9
AUS,2021,PRDMPCDD,F,10-19Y,NUM,19,Y10T19
AUS,2021,PRDMPCDD,F,20-29Y,NUM,373,Y20T29
AUS,2021,PRDMPCDD,F,30-39Y,NUM,2635,Y30T39
AUS,2021,PRDMPCDD,F,40-49Y,NUM,12649,Y40T49
AUS,2021,PRDMPCDD,F,50-59Y,NUM,38133,Y50T59
AUS,2021,PRDMPCDD,F,60-69Y,NUM,67401,Y60T69
AUS,2021,PRDMPCDD,F,70-79Y,NUM,65561,Y70T79
AUS,2021,PRDMPCDD,F,80Y_OVER,NUM,30203,Y_GE80
AUS,2022,PRDMPCDD,M,0-9Y,NUM,9,Y0T9
AUS,2022,PRDMPCDD,M,10-19Y,NUM,42,Y10T19
AUS,2022,PRDMPCDD,M,20-29Y,NUM,499,Y20T29
AUS,2022,PRDMPCDD,M,30-39Y,NUM,5017,Y30T39
AUS,2022,PRDMPCDD,M,40-49Y,NUM,21160,Y40T49
AUS,2022,PRDMPCDD,M,50-59Y,NUM,59233,Y50T59
AUS,2022,PRDMPCDD,M,60-69Y,NUM,105320,Y60T69
AUS,2022,PRDMPCDD,M,70-79Y,NUM,107562,Y70T79
AUS,2022,PRDMPCDD,M,80Y_OVER,NUM,41188,Y_GE80
AUS,2022,PRDMPCDD,F,0-9Y,NUM,3,Y0T9
AUS,2022,PRDMPCDD,F,10-19Y,NUM,16,Y10T19
AUS,2022,PRDMPCDD,F,20-29Y,NUM,350,Y20T29
AUS,2022,PRDMPCDD,F,30-39Y,NUM,2658,Y30T39
AUS,2022,PRDMPCDD,F,40-49Y,NUM,12671,Y40T49
AUS,2022,PRDMPCDD,F,50-59Y,NUM,39311,Y50T59
AUS,2022,PRDMPCDD,F,60-69Y,NUM,71558,Y60T69
AUS,2022,PRDMPCDD,F,70-79Y,NUM,71517,Y70T79
AUS,2022,PRDMPCDD,F,80Y_OVER,NUM,33297,Y_GE80
AUS,2005,PRDMPCDD,M,0-9Y,DEN,18,Y0T9
AUS,2005,PRDMPCDD,M,10-19Y,DEN,95,Y10T19
AUS,2005,PRDMPCDD,M,20-29Y,DEN,280,Y20T29
AUS,2005,PRDMPCDD,M,30-39Y,DEN,1783,Y30T39
AUS,2005,PRDMPCDD,M,40-49Y,DEN,8450,Y40T49
AUS,2005,PRDMPCDD,M,50-59Y,DEN,26167,Y50T59
AUS,2005,PRDMPCDD,M,60-69Y,DEN,46068,Y60T69
AUS,2005,PRDMPCDD,M,70-79Y,DEN,41626,Y70T79
AUS,2005,PRDMPCDD,M,80Y_OVER,DEN,13933,Y_GE80
AUS,2005,PRDMPCDD,F,0-9Y,DEN,7,Y0T9
AUS,2005,PRDMPCDD,F,10-19Y,DEN,117,Y10T19
AUS,2005,PRDMPCDD,F,20-29Y,DEN,330,Y20T29
AUS,2005,PRDMPCDD,F,30-39Y,DEN,1775,Y30T39
AUS,2005,PRDMPCDD,F,40-49Y,DEN,7280,Y40T49
AUS,2005,PRDMPCDD,F,50-59Y,DEN,20901,Y50T59
AUS,2005,PRDMPCDD,F,60-69Y,DEN,36713,Y60T69
AUS,2005,PRDMPCDD,F,70-79Y,DEN,36621,Y70T79
AUS,2005,PRDMPCDD,F,80Y_OVER,DEN,18596,Y_GE80
AUS,2006,PRDMPCDD,M,0-9Y,DEN,22,Y0T9
AUS,2006,PRDMPCDD,M,10-19Y,DEN,94,Y10T19
AUS,2006,PRDMPCDD,M,20-29Y,DEN,273,Y20T29
AUS,2006,PRDMPCDD,M,30-39Y,DEN,1738,Y30T39
AUS,2006,PRDMPCDD,M,40-49Y,DEN,8351,Y40T49
AUS,2006,PRDMPCDD,M,50-59Y,DEN,25811,Y50T59
AUS,2006,PRDMPCDD,M,60-69Y,DEN,47783,Y60T69
AUS,2006,PRDMPCDD,M,70-79Y,DEN,43379,Y70T79
AUS,2006,PRDMPCDD,M,80Y_OVER,DEN,15090,Y_GE80
AUS,2006,PRDMPCDD,F,0-9Y,DEN,7,Y0T9
AUS,2006,PRDMPCDD,F,10-19Y,DEN,99,Y10T19
AUS,2006,PRDMPCDD,F,20-29Y,DEN,356,Y20T29
AUS,2006,PRDMPCDD,F,30-39Y,DEN,1763,Y30T39
AUS,2006,PRDMPCDD,F,40-49Y,DEN,7282,Y40T49
AUS,2006,PRDMPCDD,F,50-59Y,DEN,21028,Y50T59
AUS,2006,PRDMPCDD,F,60-69Y,DEN,37337,Y60T69
AUS,2006,PRDMPCDD,F,70-79Y,DEN,37701,Y70T79
AUS,2006,PRDMPCDD,F,80Y_OVER,DEN,19576,Y_GE80
AUS,2007,PRDMPCDD,M,0-9Y,DEN,20,Y0T9
AUS,2007,PRDMPCDD,M,10-19Y,DEN,97,Y10T19
AUS,2007,PRDMPCDD,M,20-29Y,DEN,278,Y20T29
AUS,2007,PRDMPCDD,M,30-39Y,DEN,1755,Y30T39
AUS,2007,PRDMPCDD,M,40-49Y,DEN,8384,Y40T49
AUS,2007,PRDMPCDD,M,50-59Y,DEN,26117,Y50T59
AUS,2007,PRDMPCDD,M,60-69Y,DEN,50731,Y60T69
AUS,2007,PRDMPCDD,M,70-79Y,DEN,46199,Y70T79
AUS,2007,PRDMPCDD,M,80Y_OVER,DEN,16634,Y_GE80
AUS,2007,PRDMPCDD,F,0-9Y,DEN,11,Y0T9
AUS,2007,PRDMPCDD,F,10-19Y,DEN,88,Y10T19
AUS,2007,PRDMPCDD,F,20-29Y,DEN,334,Y20T29
