REF-AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2019,MPIPEXPL,F,Total_16,CRUDE_RATE_CPAT,56.4,YToTal
AUS,2019,MPIPEXPL,T,Y16T24,CRUDE_RATE_CPAT,58.6,YY1TT2
AUS,2019,MPIPEXPL,T,Y25T44,CRUDE_RATE_CPAT,56.4,YY2TT4
AUS,2019,MPIPEXPL,T,Y45T64,CRUDE_RATE_CPAT,57.9,YY4TT6
AUS,2019,MPIPEXPL,T,Y_GE65,CRUDE_RATE_CPAT,59.7,YY_TE6
AUS,2019,MPIPEXPL,T,Total_16,CRUDE_RATE_CPAT,54.9,YToTal
AUS,2020,MPIPEXPL,M,Y16T24,CRUDE_RATE_CPAT,57.9,YY1TT2
AUS,2020,MPIPEXPL,M,Y25T44,CRUDE_RATE_CPAT,57.3,YY2TT4
AUS,2020,MPIPEXPL,M,Y45T64,CRUDE_RATE_CPAT,58,YY4TT6
AUS,2020,MPIPEXPL,M,Y_GE65,CRUDE_RATE_CPAT,53.5,YY_TE6
AUS,2020,MPIPEXPL,M,Total_16,CRUDE_RATE_CPAT,57.3,YToTal
AUS,2020,MPIPEXPL,F,Y16T24,CRUDE_RATE_CPAT,54.2,YY1TT2
AUS,2020,MPIPEXPL,F,Y25T44,CRUDE_RATE_CPAT,55.7,YY2TT4
AUS,2020,MPIPEXPL,F,Y45T64,CRUDE_RATE_CPAT,56.8,YY4TT6
AUS,2020,MPIPEXPL,F,Y_GE65,CRUDE_RATE_CPAT,59.2,YY_TE6
AUS,2020,MPIPEXPL,F,Total_16,CRUDE_RATE_CPAT,55.8,YToTal
AUS,2020,MPIPEXPL,T,Y16T24,CRUDE_RATE_CPAT,55.4,YY1TT2
AUS,2020,MPIPEXPL,T,Y25T44,CRUDE_RATE_CPAT,56.5,YY2TT4
AUS,2020,MPIPEXPL,T,Y45T64,CRUDE_RATE_CPAT,57.3,YY4TT6
AUS,2020,MPIPEXPL,T,Y_GE65,CRUDE_RATE_CPAT,56.6,YY_TE6
AUS,2020,MPIPEXPL,T,Total_16,CRUDE_RATE_CPAT,53.9,YToTal
AUS,2021,MPIPEXPL,M,Y16T24,CRUDE_RATE_CPAT,61.8,YY1TT2
AUS,2021,MPIPEXPL,M,Y25T44,CRUDE_RATE_CPAT,58.6,YY2TT4
AUS,2021,MPIPEXPL,M,Y45T64,CRUDE_RATE_CPAT,58.5,YY4TT6
AUS,2021,MPIPEXPL,M,Y_GE65,CRUDE_RATE_CPAT,63.4,YY_TE6
AUS,2021,MPIPEXPL,M,Total_16,CRUDE_RATE_CPAT,59.4,YToTal
AUS,2021,MPIPEXPL,F,Y16T24,CRUDE_RATE_CPAT,55.1,YY1TT2
AUS,2021,MPIPEXPL,F,Y25T44,CRUDE_RATE_CPAT,53.7,YY2TT4
AUS,2021,MPIPEXPL,F,Y45T64,CRUDE_RATE_CPAT,54.4,YY4TT6
AUS,2021,MPIPEXPL,F,Y_GE65,CRUDE_RATE_CPAT,56.8,YY_TE6
AUS,2021,MPIPEXPL,F,Total_16,CRUDE_RATE_CPAT,54.5,YToTal
AUS,2021,MPIPEXPL,T,Y16T24,CRUDE_RATE_CPAT,57.2,YY1TT2
AUS,2021,MPIPEXPL,T,Y25T44,CRUDE_RATE_CPAT,56,YY2TT4
AUS,2021,MPIPEXPL,T,Y45T64,CRUDE_RATE_CPAT,56.6,YY4TT6
AUS,2021,MPIPEXPL,T,Y_GE65,CRUDE_RATE_CPAT,59.8,YY_TE6
AUS,2021,MPIPEXPL,T,Total_16,CRUDE_RATE_CPAT,54,YToTal
AUS,2017,MPCBEXPL,M,Y16T24,CRUDE_RATE_CPAT,70.2,YY1TT2
AUS,2017,MPCBEXPL,M,Y25T44,CRUDE_RATE_CPAT,59.3,YY2TT4
AUS,2017,MPCBEXPL,M,Y45T64,CRUDE_RATE_CPAT,60.6,YY4TT6
AUS,2017,MPCBEXPL,M,Y_GE65,CRUDE_RATE_CPAT,63.2,YY_TE6
AUS,2017,MPCBEXPL,M,Total_16,CRUDE_RATE_CPAT,61.9,YToTal
AUS,2017,MPCBEXPL,F,Y16T24,CRUDE_RATE_CPAT,69.7,YY1TT2
AUS,2017,MPCBEXPL,F,Y25T44,CRUDE_RATE_CPAT,67.6,YY2TT4
AUS,2017,MPCBEXPL,F,Y45T64,CRUDE_RATE_CPAT,66.7,YY4TT6
AUS,2017,MPCBEXPL,F,Y_GE65,CRUDE_RATE_CPAT,70.1,YY_TE6
AUS,2017,MPCBEXPL,F,Total_16,CRUDE_RATE_CPAT,67.8,YToTal
AUS,2017,MPCBEXPL,T,Y16T24,CRUDE_RATE_CPAT,69.4,YY1TT2
AUS,2017,MPCBEXPL,T,Y25T44,CRUDE_RATE_CPAT,63.3,YY2TT4
AUS,2017,MPCBEXPL,T,Y45T64,CRUDE_RATE_CPAT,63.5,YY4TT6
AUS,2017,MPCBEXPL,T,Y_GE65,CRUDE_RATE_CPAT,67.4,YY_TE6
AUS,2017,MPCBEXPL,T,Total_16,CRUDE_RATE_CPAT,63.8,YToTal
AUS,2018,MPCBEXPL,M,Y16T24,CRUDE_RATE_CPAT,69.2,YY1TT2
AUS,2018,MPCBEXPL,M,Y25T44,CRUDE_RATE_CPAT,56.4,YY2TT4
AUS,2018,MPCBEXPL,M,Y45T64,CRUDE_RATE_CPAT,60.7,YY4TT6
AUS,2018,MPCBEXPL,M,Y_GE65,CRUDE_RATE_CPAT,64.6,YY_TE6
AUS,2018,MPCBEXPL,M,Total_16,CRUDE_RATE_CPAT,60.6,YToTal
AUS,2018,MPCBEXPL,F,Y16T24,CRUDE_RATE_CPAT,72,YY1TT2
AUS,2018,MPCBEXPL,F,Y25T44,CRUDE_RATE_CPAT,67.5,YY2TT4
AUS,2018,MPCBEXPL,F,Y45T64,CRUDE_RATE_CPAT,67.8,YY4TT6
AUS,2018,MPCBEXPL,F,Y_GE65,CRUDE_RATE_CPAT,64.6,YY_TE6
AUS,2018,MPCBEXPL,F,Total_16,CRUDE_RATE_CPAT,68.1,YToTal
AUS,2018,MPCBEXPL,T,Y16T24,CRUDE_RATE_CPAT,70.8,YY1TT2
AUS,2018,MPCBEXPL,T,Y25T44,CRUDE_RATE_CPAT,61.3,YY2TT4
AUS,2018,MPCBEXPL,T,Y45T64,CRUDE_RATE_CPAT,64,YY4TT6
